index,team.name,abbreviation,city,state,zip,type,lat,long,region
280,West Virginia Mountaineers,wvu-quidditch,Morgantown,WV,26506,College,39.6494,-79.9571,MA
284,Wilmington Warhawks,wilmington-2,Wilmington,NC,28403,College,34.2237,-77.8862,MA
288,Wizengamot Quidditch at VCU,vcu-wizengamot-1,Richmond,VA,23220,College,37.5498,-77.4588,MA
2,Anarchs Quidditch,anarchs,Topeka,KS,66607,Adult Community,39.0421,-95.6449,MW
17,Blue Mountain Quidditch Club,blue-mountain,Toledo,OH,43614,Adult Community,41.6028,-83.6292,MW
18,Boggarts Quidditch Club at Colorado State University,boggarts-quidditch-club-at-csu,Fort Collins,CO,80524,College,40.5986,-105.058,MW
33,Central Michigan Quidditch,centaurs-1,Mount Pleasant,MI,48858,College,43.6013,-84.7736,MW
35,Chicago Phoenix Quidditch Club,chicago-phoenix-2,Chicago,IL,60660,Adult Community,41.9909,-87.6629,MW
36,Chicago United Quidditch Club,chicago-united-1,Port Barrington,IL,60010,Adult Community,42.1614,-88.1383,MW
45,Creighton Quidditch,creighton-quidditch,Omaha,NE,68178,College,41.2649,-95.9488,MW
48,Crimson Warhawks,crimson-warhawks,Lawrence,KS,66044,College,38.9644,-95.2418,MW
52,Denison Deatheaters,denison-quidditch-league,Granville,OH,43023,College,40.0788,-82.5194,MW
56,Downriver Dragons,downriver-dragons,Romulus,MI,48174,Adult Community,42.2203,-83.3583,MW
61,Eastern Michigan Flying Squirrels,flying-squirrels,Ypsilanti,MI,48197,College,42.2325,-83.6336,MW
63,Eastern Michigan Quidditch Club,eastern-michigan,Ypsilanti,MI,48197,College,42.2325,-83.6336,MW
89,IIT QuiddIITch Team,iit-quiddiitch,Chicago,IL,60616,College,41.8426,-87.6306,MW
90,Illini Ridgebacks Quidditch Team,illini-ridgebacks,Urbana,IL,61801,College,40.1095,-88.2036,MW
91,Illinois State University Firebirds,firebirds,Normal,IL,61761,College,40.5124,-88.9883,MW
93,Indiana University South Bend Titans,iu-south-bend-titans,South Bend,IN,46613,College,41.6546,-86.2479,MW
95,Iowa State Quidditch,iowa-state,Ames,IA,50014,College,42.0293,-93.667,MW
101,Kansas Quidditch,kansas-quidditch,Lawrence,KS,66049,College,38.9704,-95.2769,MW
112,Loyola University Chicago,loyola-lumos-3,Chicago,IL,60660,College,41.9909,-87.6629,MW
118,Marquette University Quidditch,marquette,Milwaukee,WI,53233,College,43.0407,-87.9357,MW
124,Mile High Quidditch Club,mile-high-qc,Denver,CO,80230,Adult Community,39.7206,-104.899,MW
125,Minnesota Nice Quidditch Club,mnqc,Minneapolis,MN,55405,Adult Community,44.9687,-93.2991,MW
126,Minnesota Quidditch,minnesota,Minneapolis,MN,55455,College,44.9816,-93.2393,MW
129,Mizzou Quidditch,mizzou,Columbia,MO,65211,College,38.9368,-92.3221,MW
142,Northwestern Kneazles,kneazles,Evanston,IL,60201,College,42.0546,-87.6943,MW
151,OSU The Mighty Bucks,mighty-bucks,Columbus,OH,43201,Adult Community,39.9952,-83.0047,MW
192,SIUE Quidditch Club,siue-quidditch,Edwardsville,IL,62026,College,38.8114,-89.9531,MW
196,Southern Illinois University Quidditch,saluki-quidditch,Carbondale,IL,62901,College,37.72,-89.2158,MW
197,Spartan Spitfires,spitfires,East Lansing,MI,48823,Adult Community,42.7388,-84.4764,MW
207,TC FROST,frost,Minneapolis,MN,55406,Adult Community,44.9384,-93.2214,MW
216,The Charles School Chimeras,chimeras,Columbus,OH,43219,High School,40.0044,-82.9365,MW
235,Toledo Firebolts Quidditch,toledo,Toledo,OH,43606,College,41.6712,-83.606,MW
248,University of Chicago Phoenixes,uc-phoenixes,Chicago,IL,60637,College,41.7813,-87.6051,MW
257,University of Missouri,mizzou,Columbia,MO,65211,College,38.9368,-92.3221,MW
260,University of Northern Colorado,unc,Greeley,CO,80631,College,40.414,-104.705,MW
278,Webster University Quidditch,webster,St. Louis,MO,63119,College,38.5889,-90.3508,MW
283,Wichita State University,shockers-1,Wichita,KS,67260,College,37.7165,-97.2968,MW
286,Wisconsin Quidditch,wisconsin,madison,WI,53719,College,43.0321,-89.4993,MW
