"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.19.2015","X9.26.2015","X9.27.2015","X10.3.2015","X10.10.2015","X10.11.2015","X10.17.2015","X10.18.2015","X10.24.2015","X10.31.2015","X11.1.2015","X11.7.2015","X11.8.2015","X11.14.2015","X11.15.2015","X11.21.2015","X11.22.2015","X12.5.2015","X1.9.2016","X1.16.2016","X1.17.2016","X1.23.2016","X1.24.2016","X1.30.2016","X1.31.2016","X2.6.2016","X2.7.2016","X2.13.2016","X2.14.2016","X2.20.2016","X2.21.2016","X2.27.2016","X2.28.2016","X3.5.2016","X3.12.2016","X3.19.2016","X3.20.2016","X3.26.2016","X4.16.2016","X4.17.2016","X4.23.2016"
"124","Los Angeles Gambits",2015,2108.68650007936,1857.24664847052,14339.9476076599,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1857.24664847052,1927.56547427853,1927.56547427853,1927.56547427853,1927.56547427853,2027.23942312647,2027.23942312647,2027.23942312647,2027.23942312647,2027.23942312647,2027.23942312647,2027.23942312647,2027.23942312647,2020.74218218995,2020.74218218995,2020.74218218995,2020.74218218995,2020.74218218995,2020.74218218995,2020.74218218995,2020.74218218995,2065.85080841517,2119.59359661785,2119.59359661785,2119.59359661785,2119.59359661785,2119.59359661785,2119.59359661785,2129.64622710539,2108.68650007936,2108.68650007936
"125","The Long Beach Funky Quaffles",2014,1336.93996823131,1353.7044324748,10872.6087444162,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1353.7044324748,1357.81756578584,1357.81756578584,1357.81756578584,1357.81756578584,1353.59084068165,1353.59084068165,1353.59084068165,1353.59084068165,1296.39171261954,1296.39171261954,1296.39171261954,1296.39171261954,1394.64467215402,1415.5840644252,1415.5840644252,1415.5840644252,1415.5840644252,1415.5840644252,1415.5840644252,1415.5840644252,1348.74357326467,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131,1336.93996823131
"126","Loyola University New Orleans",2014,1452.30788253186,1557.04424508091,13791.4743305555,1557.04424508091,1557.04424508091,1557.04424508091,1557.04424508091,1557.04424508091,1557.04424508091,1485.81355629822,1485.81355629822,1485.81355629822,1485.81355629822,1485.81355629822,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1453.41978519185,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186,1452.30788253186
"127","University of South Carolina",2014,1328.01853392945,1301.25941395948,10893.1711600181,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1301.25941395948,1328.26460171247,1328.26460171247,1328.26460171247,1328.26460171247,1328.26460171247,1328.26460171247,1328.26460171247,1328.26460171247,1284.91999652226,1284.91999652226,1284.91999652226,1284.91999652226,1264.489219592,1264.489219592,1264.489219592,1264.489219592,1349.84500818802,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1386.20665813254,1328.01853392945,1328.01853392945,1328.01853392945,1328.01853392945
"128","Marquette University Quidditch",2014,1747.04882274142,1527.48978692979,10569.6753850144,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1527.48978692979,1710.31272537481,1710.31272537481,1710.31272537481,1710.31272537481,1770.01079414998,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1727.68612434541,1747.04882274142,1747.04882274142,1747.04882274142,1747.04882274142,1747.04882274142,1747.04882274142,1747.04882274142,1747.04882274142
"129","Wizards of Westwood",2014,1365.57957537796,1351.93768494271,10949.9076864022,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1351.93768494271,1380.8320480728,1380.8320480728,1380.8320480728,1380.8320480728,1374.15276198498,1374.15276198498,1374.15276198498,1374.15276198498,1392.79202176101,1392.79202176101,1392.79202176101,1392.79202176101,1392.79202176101,1392.79202176101,1392.79202176101,1392.79202176101,1419.09817867947,1419.09817867947,1419.09817867947,1419.09817867947,1408.67218111642,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796,1365.57957537796
"130","Minnesota Quidditch",2014,1660.3296669276,1702.43092199664,11023.5769788146,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1702.43092199664,1739.55115239766,1739.55115239766,1739.55115239766,1739.55115239766,1714.25531166303,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1807.01614675871,1819.69688446601,1819.69688446601,1652.47910244415,1652.47910244415,1652.47910244415,1652.47910244415,1652.47910244415,1660.3296669276,1660.3296669276,1660.3296669276
"131","RCQC",2015,1382.4020729031,1410.23986838506,16623.6970281215,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1410.23986838506,1315.90064124295,1315.90064124295,1494.94004713531,1494.94004713531,1494.94004713531,1494.94004713531,1509.04945435652,1509.04945435652,1480.65623347248,1491.37097127474,1491.37097127474,1491.37097127474,1491.37097127474,1491.37097127474,1491.37097127474,1491.37097127474,1398.72545810088,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031,1382.4020729031
"132","Minnesota Nice Quidditch Club",2016,1625.62776618656,1500,10956.0533256511,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1582.58411545318,1582.58411545318,1582.58411545318,1582.58411545318,1565.15047509301,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1502.0609654962,1544.90351314353,1544.90351314353,1625.62776618656,1625.62776618656,1625.62776618656,1625.62776618656,1625.62776618656,1625.62776618656,1625.62776618656,1625.62776618656
"133","University of California Los Angeles",2014,1579.89827082193,1676.72201040905,10345.1156537923,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1676.72201040905,1675.27021766566,1675.27021766566,1675.27021766566,1675.27021766566,1622.52761867537,1622.52761867537,1622.52761867537,1622.52761867537,1709.98178977521,1709.98178977521,1709.98178977521,1709.98178977521,1709.98178977521,1709.98178977521,1709.98178977521,1709.98178977521,1723.86007231013,1723.86007231013,1723.86007231013,1723.86007231013,1778.61330752081,1750.13030635016,1750.13030635016,1750.13030635016,1750.13030635016,1750.13030635016,1750.13030635016,1579.89827082193,1579.89827082193,1579.89827082193
"134","University of Florida Quidditch",2014,1332.99202985623,1450.28434175976,12723.0449370297,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1450.28434175976,1530.03888894322,1530.03888894322,1450.48440527243,1450.48440527243,1450.48440527243,1450.48440527243,1456.93253726305,1456.93253726305,1467.76341020249,1467.76341020249,1467.76341020249,1467.76341020249,1467.76341020249,1467.76341020249,1467.76341020249,1467.76341020249,1445.63653177904,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623,1332.99202985623
"135","Lake Effect Maelstrom",2016,1657.10779103959,1500,13185.8371118512,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1874.32365185596,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1883.69101597874,1953.7780402502,1953.7780402502,1808.49524778642,1808.49524778642,1808.49524778642,1657.10779103959,1657.10779103959,1657.10779103959
"136","Lake Effect Tempest",2016,1450.73892527585,1500,10991.8398408028,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1624.37951498698,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1570.26283440041,1450.73892527585,1450.73892527585,1450.73892527585,1450.73892527585,1450.73892527585,1450.73892527585,1450.73892527585,1450.73892527585
"137","SHSU Quidditch",2014,1784.10859273199,1651.02569037191,9902.75834824122,1651.02569037191,1651.02569037191,1651.02569037191,1651.02569037191,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1638.91853457674,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1628.71251708059,1610.57822695092,1610.57822695092,1605.38680552133,1605.38680552133,1605.38680552133,1605.38680552133,1702.44038292668,1755.36367008971,1755.36367008971,1755.36367008971,1755.36367008971,1755.36367008971,1755.36367008971,1755.36367008971,1755.36367008971,1794.73089885605,1784.10859273199,1784.10859273199
"138","University of North Texas",2014,1155.66836646203,1208.24701221409,5261.90351328574,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1208.24701221409,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203,1155.66836646203
"139","Lumberjack Quidditch",2016,1120.22941607577,1500,10611.5903213335,1500,1500,1500,1500,1500,1500,1375.17642911538,1375.17642911538,1375.17642911538,1375.17642911538,1375.17642911538,1375.17642911538,1375.17642911538,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1326.44879016669,1255.157727254,1255.157727254,1255.157727254,1255.157727254,1203.11529389913,1203.11529389913,1203.11529389913,1203.11529389913,1120.22941607577,1120.22941607577,1120.22941607577,1120.22941607577,1120.22941607577,1120.22941607577,1120.22941607577,1120.22941607577
