team_name,abbreviation,city,state,zip,type,lat,long,region
 Illinois State University Firebirds,firebirds,Normal,IL,61761,University,40.5124,-88.9883,3
 Horn Tailed Horcruxes,horn-tails-1,Irvington,NJ,07079,Adult Community,40.7465,-74.2575,2
 Hopkins Hallows,hopkins,Baltimore,MD,21218,University,39.3265,-76.6048,2
 Hofstra University Flying Dutchmen,hofstra-quidditch,Hempstead,NY,11549,University,40.7139,-73.6003,1
 Harvard Horntails,harvard,Cambridge,MA,02138,University,42.377,-71.1256,1
 Gulf Coast Gumbeaux,gumbeaux,New Orleans,LA,70118,Adult Community,29.9504,-90.1236,6
 Grove City Legion of Broom,grove-city,Grove City,PA,16127,University,41.1607,-80.0841,2
 Grand Valley Quidditch,gv-grindylows,Allendale,MI,49401,University,42.9711,-85.9249,13
 George Mason Club Quidditch,gmu-qc,Fairfax,VA,22030,University,38.8458,-77.3242,2
" ""Floridas Finest""",florida-s-finest,Miami,FL,33135,Adult Community,25.7664,-80.2317,5
 Florida State University,fsu-quidditch-1,Tallahassee,FL,32304,University,30.4478,-84.3211,5
 Florida International University,fiu-panthers,Miami,FL,33174,University,25.7628,-80.3611,5
 Florida Gulf Coast Quidditch,fgcu-quidditch,Fort Myers,FL,33965,University,26.4737,-81.9397,5
 Falcon Warriors Quidditch Club,falcon-warriors,Bowling Green,OH,43402,Adult Community,41.3815,-83.6507,13
 Emerson College Quidditch,ecq,Boston,MA,02116,Adult Community,42.3492,-71.0768,1
 Emerald City Admirals,seattle-quidditch-1,Seattle,WA,98112,Adult Community,47.6301,-122.297,12
 Eastern Michigan Quidditch,emu-quidditch,Ypsilanti,MI,48197,University,42.2325,-83.6336,13
 East Tennessee State University Quidditch,etsu-quidditch,Johnson City ,TN,37614,University,36.3027,-82.3681,5
 Duke University Quidditch,duke-quidditch,Durham,NC,27707,University,35.9631,-78.9315,2
 Drexel Quidditch Club,drexel,Philadelphia,PA,19104,University,39.9597,-75.2024,2
 District of Columbia Quidditch Club,dc-quidditch,Fairfax,VA,22030,Adult Community,38.8458,-77.3242,2
 Death Row Quidditch,death-row,Huntsville,TX,77340,Adult Community,30.7344,-95.5342,6
 Crimson Warhawks,crimson-warhawks,Lawrence,KS,66044,University,38.9644,-95.2418,3
 Crimson Fliers,fliers,Salt Lake City,UT,84108,Adult Community,40.7371,-111.826,4
 Crimson Elite,crimson-elite-1,Salt Lake City,UT,84103,Adult Community,40.7776,-111.875,4
College of Charleston,charleston-4,Summerville,SC,29483,University,33.028,-80.1739,5
 Clark University Quidditch,cu-quidditch-1,Worcester,MA,01610,University,42.2492,-71.8108,1
 Central Michigan Quidditch Club,cmqc,Mt. Pleasant,MI,48858,University,43.6013,-84.7736,13
