"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.20.2014","X9.21.2014","X9.27.2014","X10.4.2014","X10.5.2014","X10.11.2014","X10.18.2014","X10.19.2014","X10.25.2014","X10.26.2014","X11.1.2014","X11.2.2014","X11.3.2014","X11.8.2014","X11.9.2014","X11.15.2014","X11.16.2014","X11.22.2014","X12.6.2014","X1.11.2015","X1.17.2015","X1.18.2015","X1.24.2015","X1.31.2015","X2.7.2015","X2.14.2015","X2.15.2015","X2.21.2015","X2.22.2015","X2.28.2015","X3.1.2015","X3.7.2015","X3.14.2015","X3.21.2015","X3.22.2015","X3.23.2015","X3.28.2015","X4.11.2015","X4.12.2015","X4.25.2015"
"58","The Warriors",2015,1827.15109612915,1500,11963.4187371365,1500,1500,1500,1654.61437818024,1654.61437818024,1709.05981959093,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1796.06587274523,1842.56354997948,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1811.96404534653,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1831.24232628831,1811.00476605166,1827.15109612915,1827.15109612915
"59","Silicon Valley Skrewts",2014,1717.31622774555,1639.1786210678,13436.6767859924,1639.1786210678,1639.1786210678,1639.1786210678,1696.91897504738,1696.91897504738,1696.91897504738,1696.91897504738,1696.91897504738,1706.26798664447,1735.23668054758,1735.23668054758,1735.23668054758,1735.23668054758,1746.87428786831,1746.87428786831,1746.87428786831,1746.87428786831,1737.0891274701,1737.0891274701,1737.0891274701,1741.07455834762,1718.28327610133,1718.28327610133,1742.43873185196,1742.43873185196,1715.93384661292,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1717.28743363736,1745.0193232049,1717.31622774555,1717.31622774555
"60","Cal Quidditch",2014,1197.82484787852,1350.30079348706,9003.31161480378,1350.30079348706,1350.30079348706,1350.30079348706,1211.22927916314,1211.22927916314,1211.22927916314,1211.22927916314,1211.22927916314,1233.92439993667,1245.45094286675,1245.45094286675,1245.45094286675,1245.45094286675,1245.45094286675,1245.45094286675,1245.45094286675,1211.62290304857,1211.62290304857,1211.62290304857,1211.62290304857,1211.62290304857,1211.62290304857,1211.62290304857,1246.05704837875,1246.05704837875,1213.36599826632,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852,1197.82484787852
"61","Mizzou Quidditch",2014,1649.03717231739,1461.00483251227,8901.11735159432,1461.00483251227,1461.00483251227,1461.00483251227,1510.66538222389,1510.66538222389,1510.66538222389,1532.34686455293,1532.34686455293,1532.34686455293,1532.34686455293,1532.34686455293,1532.34686455293,1532.34686455293,1596.18406126758,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1688.8984097722,1554.71253722699,1554.71253722699,1554.71253722699,1554.71253722699,1554.71253722699,1554.71253722699,1567.69108424536,1567.69108424536,1567.69108424536,1567.69108424536,1567.69108424536,1567.69108424536,1567.69108424536,1567.69108424536,1676.00662987413,1649.03717231739,1649.03717231739
"62","Florida's Finest",2014,1933.95793132293,1715.73210259793,15585.5762186242,1715.73210259793,1715.73210259793,1715.73210259793,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1871.61319861302,1924.95350087662,1924.95350087662,1924.95350087662,1924.95350087662,1924.95350087662,1953.91371702376,1919.16603493724,1919.16603493724,1919.16603493724,1919.16603493724,1919.16603493724,1919.16603493724,1919.16603493724,1919.16603493724,1942.55179857168,1972.8397234979,1972.8397234979,1972.8397234979,1972.8397234979,1972.8397234979,1972.8397234979,1972.8397234979,1925.79527334296,1933.95793132293,1933.95793132293
"63","University of South Florida Quidditch",2014,1401.48274141218,1460.90028740666,10256.5655018273,1460.90028740666,1460.90028740666,1460.90028740666,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1429.70711271419,1460.62308500811,1460.62308500811,1460.62308500811,1460.62308500811,1460.62308500811,1408.78235756364,1441.52492651418,1441.52492651418,1441.52492651418,1441.52492651418,1441.52492651418,1441.52492651418,1441.52492651418,1441.52492651418,1532.28219630113,1581.27123275519,1581.27123275519,1581.27123275519,1581.27123275519,1581.27123275519,1581.27123275519,1581.27123275519,1435.2365090656,1401.48274141218,1401.48274141218
"64","Tufts University Tufflepuffs",2014,1950.56937242514,1689.77099539683,20559.4778143583,1689.77099539683,1689.77099539683,1689.77099539683,1689.77099539683,1689.77099539683,1885.39764261655,1908.07982316945,1908.07982316945,1948.68317726405,1927.31906011405,1927.31906011405,1927.31906011405,1927.31906011405,1904.63437606686,1904.63437606686,1951.08680435806,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,2078.40583882772,1985.74722902403,1977.68119579918,1950.56937242514,1950.56937242514
"65","West Virginia Mountaineers",2014,1206.84450583422,1267.83211586291,4673.32637635949,1267.83211586291,1267.83211586291,1299.5509633757,1299.5509633757,1265.62329371463,1265.62329371463,1265.62329371463,1265.62329371463,1265.62329371463,1265.62329371463,1236.15577987906,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422,1206.84450583422
"66","Carnegie Mellon Quidditch Club",2014,1170.44967466857,1360.72445074991,10179.6181792369,1360.72445074991,1360.72445074991,1360.72445074991,1360.72445074991,1203.10126996477,1304.07156084387,1304.07156084387,1304.07156084387,1304.07156084387,1304.07156084387,1181.45927169248,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857,1170.44967466857
"67","Emerson College Quidditch",2014,1895.60775570958,1801.18225991329,12055.1226820878,1801.18225991329,1801.18225991329,1801.18225991329,1801.18225991329,1878.3949630732,1884.54245079877,1875.49952145896,1875.49952145896,1854.17789598133,1808.80811026348,1808.80811026348,1808.80811026348,1808.80811026348,1831.49279431066,1831.49279431066,1871.80233432821,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1842.4529426208,1866.79294054704,1866.79294054704,1866.79294054704,1905.94352673671,1925.51774014285,1895.60775570958,1895.60775570958
"68","Texas State University - San Marcos",2014,2153.72823594662,1755.07121358588,16114.7995829544,1755.07121358588,1755.07121358588,1755.07121358588,1755.07121358588,1755.07121358588,1829.98741023911,1829.98741023911,1829.98741023911,1874.3613114807,1874.3613114807,1874.3613114807,1874.3613114807,1874.3613114807,1874.3613114807,1874.3613114807,1956.52630629845,1975.34022908054,1975.34022908054,1975.34022908054,1975.34022908054,1975.34022908054,1975.34022908054,1975.34022908054,1975.34022908054,2001.72856118339,2001.72856118339,2001.72856118339,2012.79115661632,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,1996.08233874246,2114.59279902704,2153.72823594662,2153.72823594662
"69","The Silver Phoenix",2014,1333.36676667331,1462.97249476895,10785.8083056134,1462.97249476895,1462.97249476895,1462.97249476895,1462.97249476895,1462.97249476895,1486.50404661662,1486.50404661662,1486.50404661662,1578.67880741462,1578.67880741462,1578.67880741462,1578.67880741462,1578.67880741462,1578.67880741462,1578.67880741462,1466.24967048497,1457.93875271934,1457.93875271934,1457.93875271934,1457.93875271934,1457.93875271934,1457.93875271934,1457.93875271934,1457.93875271934,1381.28542845902,1381.28542845902,1381.28542845902,1494.70228246967,1421.21388733661,1421.21388733661,1421.21388733661,1421.21388733661,1421.21388733661,1265.68555401075,1265.68555401075,1265.68555401075,1265.68555401075,1280.15344172765,1333.36676667331,1333.36676667331
"70","Illinois State University Firebirds",2014,1416.29428170242,1371.13803445526,8835.16390725751,1371.13803445526,1371.13803445526,1371.13803445526,1371.13803445526,1371.13803445526,1288.04502789382,1360.77664029397,1339.79612270769,1339.79612270769,1339.79612270769,1339.79612270769,1339.79612270769,1339.79612270769,1331.66401169446,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1302.70099074945,1359.17229046427,1359.17229046427,1359.17229046427,1359.17229046427,1359.17229046427,1359.17229046427,1359.17229046427,1383.52188132964,1378.83798992862,1416.29428170242,1416.29428170242
"71","SHSU Quidditch",2014,1715.75098624559,1283.99195062773,9902.75834824122,1283.99195062773,1283.99195062773,1283.99195062773,1283.99195062773,1283.99195062773,1373.56010059653,1373.56010059653,1373.56010059653,1335.14753407217,1335.14753407217,1335.14753407217,1335.14753407217,1335.14753407217,1335.14753407217,1335.14753407217,1548.14964464686,1582.09899805397,1582.09899805397,1582.09899805397,1582.09899805397,1582.09899805397,1582.09899805397,1582.09899805397,1582.09899805397,1582.74522920096,1582.74522920096,1582.74522920096,1504.171279614,1509.39747292619,1509.39747292619,1509.39747292619,1509.39747292619,1509.39747292619,1647.15685918669,1647.15685918669,1647.15685918669,1647.15685918669,1691.52872382306,1715.75098624559,1715.75098624559
"72","Hofstra University Flying Dutchmen",2014,1616.66255782536,1537.8807607273,14019.4861669466,1537.8807607273,1537.8807607273,1537.8807607273,1537.8807607273,1537.8807607273,1583.86853447407,1583.86853447407,1583.86853447407,1607.04161890785,1577.03444658847,1577.03444658847,1577.03444658847,1577.03444658847,1577.03444658847,1577.03444658847,1602.48485519801,1641.48169778053,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1684.68425782444,1666.88968934015,1603.3845759228,1616.66255782536,1616.66255782536
"73","Boston University Quidditch",2014,1597.1659518972,1847.70091458849,14634.7281068788,1847.70091458849,1847.70091458849,1847.70091458849,1847.70091458849,1613.22620720009,1663.43706622436,1672.47999556417,1672.47999556417,1626.56663107225,1705.727663198,1705.727663198,1705.727663198,1705.727663198,1737.83414352173,1737.83414352173,1697.17354501316,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1712.03141632946,1671.28328055132,1669.89828367286,1597.1659518972,1597.1659518972
