"","team.name","team.age","elo","elo.seasonstart","team.provelo","X9.24.2016","X9.25.2016","X10.1.2016","X10.8.2016","X10.9.2016","X10.15.2016","X10.22.2016","X10.23.2016","X10.29.2016","X10.30.2016","X11.5.2016","X11.6.2016","X11.12.2016","X11.13.2016","X11.19.2016","X11.20.2016","X12.3.2016","X1.14.2017","X1.21.2017","X1.28.2017","X2.4.2017","X2.11.2017","X2.12.2017","X2.18.2017","X2.19.2017","X2.25.2017","X2.26.2017","X3.4.2017","X3.5.2017","X3.11.2017","X3.18.2017","X3.25.2017","X3.26.2017","X4.8.2017","X4.9.2017"
"39","RPI Quidditch",2014,2039.06861784639,1847.3200439046,10254.0739097663,1847.3200439046,1847.3200439046,1847.3200439046,1667.75378355308,1667.75378355308,1667.75378355308,1667.75378355308,1667.75378355308,1778.49029518512,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1823.33169571056,1941.65284894231,1941.65284894231,2046.45203719499,2039.06861784639
"40","Quidditch Club Boston",2014,2240.55249167519,2130.30968026554,13356.8784283556,2130.30968026554,2130.30968026554,2140.3181315781,2163.48287167426,2163.48287167426,2206.70548440024,2206.70548440024,2206.70548440024,2215.88973245593,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2260.83068253387,2274.32240600062,2240.55249167519
"41","Richmond Quidditch",2014,1584.92010078282,1506.92847420754,13801.8950095463,1506.92847420754,1506.92847420754,1602.77477459973,1602.77477459973,1602.77477459973,1568.83060717609,1568.83060717609,1568.83060717609,1590.44089650193,1590.44089650193,1590.44089650193,1590.44089650193,1590.44089650193,1590.44089650193,1566.23870887335,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1551.34529764401,1563.08507244415,1563.08507244415,1563.08507244415,1563.08507244415,1563.08507244415,1570.17122847184,1584.92010078282,1584.92010078282,1584.92010078282,1584.92010078282
"42","The University of North Carolina at Chapel Hill Quidditch",2014,1812.23185559104,1832.48945807237,10531.5841155795,1832.48945807237,1832.48945807237,1794.15387063903,1794.15387063903,1794.15387063903,1794.15387063903,1794.15387063903,1794.15387063903,1815.04732031273,1815.04732031273,1815.04732031273,1815.04732031273,1815.04732031273,1815.04732031273,1877.4040810722,1842.37627116238,1842.37627116238,1842.37627116238,1878.83082868646,1878.83082868646,1878.83082868646,1878.83082868646,1878.83082868646,1878.83082868646,1878.83082868646,1778.37155232806,1778.37155232806,1901.7075719764,1901.7075719764,1901.7075719764,1901.7075719764,1901.7075719764,1901.7075719764,1812.23185559104,1812.23185559104
"43","Wizengamot Quidditch at VCU",2014,1348.471419013,1415.92946665865,7725.21027040507,1415.92946665865,1415.92946665865,1358.4187536998,1361.15892997418,1361.15892997418,1361.15892997418,1361.15892997418,1361.15892997418,1358.75051273525,1358.75051273525,1358.75051273525,1358.75051273525,1358.75051273525,1358.75051273525,1357.53639833383,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1408.71012355985,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013,1348.471419013
"44","Carolina Heat Quidditch Club",2017,1707.9231471713,1500,9491.01377299989,1445.94002833793,1445.94002833793,1581.83562883331,1581.83562883331,1581.83562883331,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1551.36194351246,1657.46721080274,1657.46721080274,1657.46721080274,1657.46721080274,1744.87508305174,1716.06725503311,1716.06725503311,1716.06725503311,1716.06725503311,1716.06725503311,1716.06725503311,1716.06725503311,1716.06725503311,1791.32312190668,1791.32312190668,1791.32312190668,1707.9231471713,1707.9231471713
"45","Kansas Quidditch",2014,1961.88538734629,1771.31002742288,11672.5728294882,1771.31002742288,1771.31002742288,1771.31002742288,1743.20460096908,1743.20460096908,1720.244740962,1722.15613092165,1749.07843755431,1749.07843755431,1749.07843755431,1749.07843755431,1749.07843755431,1797.54675262636,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1823.51902996235,1837.8433274248,1837.8433274248,1907.27070906419,1907.27070906419,1907.27070906419,1907.27070906419,1907.27070906419,1907.27070906419,1941.43769464003,1961.88538734629
"46","Michigan Quidditch Team",2014,1868.20542135394,1957.17287246019,10252.8376452846,1957.17287246019,1957.17287246019,1957.17287246019,1946.5989306071,1946.5989306071,1946.5989306071,1896.98424755212,1851.84227279047,1851.84227279047,1851.84227279047,1889.89337130796,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1853.20766305467,1881.41763929041,1881.41763929041,1956.23958000484,1956.23958000484,1915.17967094056,1868.20542135394
"47","Appalachian Apparators Quidditch",2014,1608.8011816114,1639.9407601714,9529.89758780928,1639.9407601714,1639.9407601714,1639.9407601714,1665.2846072598,1665.2846072598,1665.2846072598,1665.2846072598,1665.2846072598,1705.24771276828,1705.24771276828,1780.024248856,1780.024248856,1780.024248856,1780.024248856,1801.89927488275,1816.42371744866,1816.42371744866,1816.42371744866,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1760.50135544098,1693.34347436989,1693.34347436989,1693.34347436989,1693.34347436989,1651.22143313029,1651.22143313029,1608.8011816114,1608.8011816114
"48","Grand Valley Quidditch",2014,1455.89387693313,1377.27743557358,12579.5201956184,1377.27743557358,1377.27743557358,1377.27743557358,1359.86181289633,1359.86181289633,1375.58477052235,1375.58477052235,1375.58477052235,1375.58477052235,1375.58477052235,1431.06633134116,1382.36731603741,1382.36731603741,1382.36731603741,1382.36731603741,1382.36731603741,1382.36731603741,1382.36731603741,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1415.1038163847,1498.70877522675,1498.70877522675,1474.46624738523,1455.89387693313,1455.89387693313,1455.89387693313
